round,loss,accuracy,precision,recall,f1,roc_auc
1,0.37297297297297294,0.6270270270270271,0.726027397260274,0.5196078431372549,0.6057142857142858,0.6552090715804393
2,0.32432432432432434,0.6756756756756757,0.8,0.5490196078431373,0.6511627906976745,0.7729742499409403
3,0.28648648648648645,0.7135135135135136,0.8450704225352113,0.5882352941176471,0.6936416184971098,0.8271911174108196
4,0.254054054054054,0.745945945945946,0.8666666666666667,0.6372549019607843,0.7344632768361582,0.8524686983227026
5,0.22702702702702704,0.772972972972973,0.875,0.6862745098039216,0.7692307692307693,0.8672336404441294
6,0.20540540540540542,0.7945945945945946,0.8636363636363636,0.7450980392156863,0.8,0.8742026931254429
7,0.21081081081081077,0.7891891891891892,0.8387096774193549,0.7647058823529411,0.8,0.8784549964564138
8,0.20540540540540542,0.7945945945945946,0.8333333333333334,0.7843137254901961,0.8080808080808081,0.8816442239546421
9,0.1945945945945946,0.8054054054054054,0.8367346938775511,0.803921568627451,0.82,0.8832978974722419
10,0.17837837837837833,0.8216216216216217,0.8415841584158416,0.8333333333333334,0.8374384236453202,0.8851878100637846
